_id,Date,Price,Open,High,Low,Vol,Change,Exchange,Country,Currency,Source
ObjectId("5c6f6bf0afdb6c3febf804af"),""2019-02-21T00:00:00.000Z"",31145.87,31165,31270,30944.63,830,-0.08,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804b0"),""2019-02-20T00:00:00.000Z"",31170,31300,31320,30947.65,1220,0.06,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804b1"),""2019-02-19T00:00:00.000Z"",31150,31100,31300,31100,790,0.48,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804b2"),""2019-02-18T00:00:00.000Z"",31000,31000,31000,31000,30,0.25,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804b3"),""2019-02-15T00:00:00.000Z"",30922.45,31310.8,31400,30909,610,-1.1,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804b4"),""2019-02-14T00:00:00.000Z"",31265,31380,31595,31265,1010,-1.68,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804b5"),""2019-02-13T00:00:00.000Z"",31800,31621,32100,31621,1630,0.79,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804b6"),""2019-02-12T00:00:00.000Z"",31551.87,30775,31570,30775,1800,2.51,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804b7"),""2019-02-11T00:00:00.000Z"",30778.68,30656,30780,30573,2380,1.86,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804b8"),""2019-02-08T00:00:00.000Z"",30217.55,30191,30248.67,29980,1690,-1.8,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804b9"),""2019-02-07T00:00:00.000Z"",30771.46,30704,30800,30480.01,1260,-1.5,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804ba"),""2019-02-06T00:00:00.000Z"",31240,31999.2,31999.2,31220,6780,-1.15,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804bb"),""2019-02-05T00:00:00.000Z"",31602.15,31615,31729,31400,1730,1.89,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804bc"),""2019-02-01T00:00:00.000Z"",31017.32,31305,31948.99,31000.01,4500,-5.35,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804bd"),""2019-01-31T00:00:00.000Z"",32770.62,32200,33065,32160,6190,2.74,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804be"),""2019-01-30T00:00:00.000Z"",31897.08,31087,31958.88,31087,2690,5.3,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804bf"),""2019-01-29T00:00:00.000Z"",30290.75,30942,30942,30270,1130,-2.68,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804c0"),""2019-01-28T00:00:00.000Z"",31123.74,31300,31300,30800,2610,-2.25,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804c1"),""2019-01-25T00:00:00.000Z"",31840.25,31612.66,31840.25,31612.66,1640,1.16,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804c2"),""2019-01-24T00:00:00.000Z"",31476.05,31340,31497,31000,470,0.79,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf804c3"),""2019-01-23T00:00:00.000Z"",31228.57,31564.5,31680,30805.5,1020,0.09,BMV,Mexico,MXN,Investing.com
