Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
21-Feb-19,"31,145.87","31,165.00","31,270.00","30,944.63",0.83K,-0.08%,BMV,Mexico,MXN
20-Feb-19,"31,170.00","31,300.00","31,320.00","30,947.65",1.22K,0.06%,BMV,Mexico,MXN
19-Feb-19,"31,150.00","31,100.00","31,300.00","31,100.00",0.79K,0.48%,BMV,Mexico,MXN
18-Feb-19,"31,000.00","31,000.00","31,000.00","31,000.00",0.03K,0.25%,BMV,Mexico,MXN
15-Feb-19,"30,922.45","31,310.80","31,400.00","30,909.00",0.61K,-1.10%,BMV,Mexico,MXN
14-Feb-19,"31,265.00","31,380.00","31,595.00","31,265.00",1.01K,-1.68%,BMV,Mexico,MXN
13-Feb-19,"31,800.00","31,621.00","32,100.00","31,621.00",1.63K,0.79%,BMV,Mexico,MXN
12-Feb-19,"31,551.87","30,775.00","31,570.00","30,775.00",1.80K,2.51%,BMV,Mexico,MXN
11-Feb-19,"30,778.68","30,656.00","30,780.00","30,573.00",2.38K,1.86%,BMV,Mexico,MXN
8-Feb-19,"30,217.55","30,191.00","30,248.67","29,980.00",1.69K,-1.80%,BMV,Mexico,MXN
7-Feb-19,"30,771.46","30,704.00","30,800.00","30,480.01",1.26K,-1.50%,BMV,Mexico,MXN
6-Feb-19,"31,240.00","31,999.20","31,999.20","31,220.00",6.78K,-1.15%,BMV,Mexico,MXN
5-Feb-19,"31,602.15","31,615.00","31,729.00","31,400.00",1.73K,1.89%,BMV,Mexico,MXN
1-Feb-19,"31,017.32","31,305.00","31,948.99","31,000.01",4.50K,-5.35%,BMV,Mexico,MXN
31-Jan-19,"32,770.62","32,200.00","33,065.00","32,160.00",6.19K,2.74%,BMV,Mexico,MXN
30-Jan-19,"31,897.08","31,087.00","31,958.88","31,087.00",2.69K,5.30%,BMV,Mexico,MXN
29-Jan-19,"30,290.75","30,942.00","30,942.00","30,270.00",1.13K,-2.68%,BMV,Mexico,MXN
28-Jan-19,"31,123.74","31,300.00","31,300.00","30,800.00",2.61K,-2.25%,BMV,Mexico,MXN
25-Jan-19,"31,840.25","31,612.66","31,840.25","31,612.66",1.64K,1.16%,BMV,Mexico,MXN
24-Jan-19,"31,476.05","31,340.00","31,497.00","31,000.00",0.47K,0.79%,BMV,Mexico,MXN
23-Jan-19,"31,228.57","31,564.50","31,680.00","30,805.50",1.02K,0.09%,BMV,Mexico,MXN
22-Jan-19,"31,201.51","31,940.00","31,940.00","30,900.00",4.90K,-4.73%,BMV,Mexico,MXN
