Date,Open,High,Low,Price,Vol.,Change %,Exchange,Country,Currency
2/21/2018,1485,1503.48999,1478.920044,1482.920044,6304400,0.99%,NASDAQ,USA,USD
2/22/2018,1495.359985,1502.540039,1475.76001,1485.339966,4858100,0.16%,NASDAQ,USA,USD
2/23/2018,1495.339966,1500,1486.5,1500,4418100,0.99%,NASDAQ,USA,USD
2/26/2018,1509.199951,1522.839966,1507,1521.949951,4955000,1.46%,NASDAQ,USA,USD
2/27/2018,1524.5,1526.780029,1507.209961,1511.97998,4808800,-0.66%,NASDAQ,USA,USD
2/28/2018,1519.51001,1528.699951,1512,1512.449951,4515000,0.03%,NASDAQ,USA,USD
3/1/2018,1513.599976,1518.48999,1465,1493.449951,6835200,-1.26%,NASDAQ,USA,USD
3/2/2018,1469.099976,1501.050049,1455.01001,1500.25,6587600,0.46%,NASDAQ,USA,USD
3/5/2018,1494.23999,1525.380005,1481,1523.609985,5233900,1.56%,NASDAQ,USA,USD
3/6/2018,1533.199951,1542.130005,1528,1537.640015,4561700,0.92%,NASDAQ,USA,USD
3/7/2018,1526.52002,1545.900024,1522.51001,1545,4174100,0.48%,NASDAQ,USA,USD
3/8/2018,1550,1554.880005,1545.25,1551.859985,3862600,0.44%,NASDAQ,USA,USD
3/9/2018,1563.5,1578.939941,1559.079956,1578.890015,4534300,1.74%,NASDAQ,USA,USD
3/12/2018,1592.599976,1605.329956,1586.699951,1598.390015,5174200,1.24%,NASDAQ,USA,USD
3/13/2018,1615.959961,1617.540039,1578.01001,1588.180054,6531900,-0.64%,NASDAQ,USA,USD
3/14/2018,1597,1606.439941,1590.890015,1591,4259400,0.18%,NASDAQ,USA,USD
3/15/2018,1595,1596.910034,1578.109985,1582.319946,4069700,-0.55%,NASDAQ,USA,USD
3/16/2018,1583.449951,1589.439941,1567.5,1571.680054,5425000,-0.67%,NASDAQ,USA,USD
3/19/2018,1554.530029,1561.660034,1525.349976,1544.930054,6580800,-1.70%,NASDAQ,USA,USD
3/20/2018,1550.339966,1587,1545.410034,1586.51001,4581600,2.69%,NASDAQ,USA,USD
3/21/2018,1586.449951,1590,1563.170044,1581.859985,4750800,-0.29%,NASDAQ,USA,USD
3/22/2018,1565.469971,1573.849976,1542.400024,1544.920044,6320600,-2.34%,NASDAQ,USA,USD
3/23/2018,1539.01001,1549.02002,1495.359985,1495.560059,8006000,-3.19%,NASDAQ,USA,USD
3/26/2018,1530,1556.98999,1499.25,1555.859985,5624700,4.03%,NASDAQ,USA,USD
3/27/2018,1572.400024,1575.969971,1482.319946,1497.050049,6999600,-3.78%,NASDAQ,USA,USD
3/28/2018,1447,1455.900024,1386.170044,1431.420044,13705300,-4.38%,NASDAQ,USA,USD
3/29/2018,1406,1455.469971,1365.199951,1447.339966,12581100,1.11%,NASDAQ,USA,USD
4/2/2018,1417.619995,1421.359985,1355,1371.98999,10463600,-5.21%,NASDAQ,USA,USD
4/3/2018,1391.380005,1414,1355.329956,1392.050049,10231200,1.46%,NASDAQ,USA,USD
4/4/2018,1358.23999,1415.390015,1352.880005,1410.569946,6982300,1.33%,NASDAQ,USA,USD
4/5/2018,1441.98999,1459.560059,1427.069946,1451.75,6413500,2.92%,NASDAQ,USA,USD
4/6/2018,1429.969971,1452.5,1400.26001,1405.22998,5882300,-3.20%,NASDAQ,USA,USD
