Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
21-Feb-19,"1,630.82","1,630.82","1,630.82","1,630.82",0.01K,0.47%,SIX,Switzerland,CHF
20-Feb-19,"1,623.20","1,630.00","1,630.00","1,623.20",0.01K,0.32%,SIX,Switzerland,CHF
19-Feb-19,"1,618.10","1,627.53","1,627.53","1,611.84",0.01K,-0.15%,SIX,Switzerland,CHF
18-Feb-19,"1,620.52","1,612.35","1,620.52","1,607.62",0.02K,0.03%,SIX,Switzerland,CHF
15-Feb-19,"1,620.00","1,630.37","1,630.37","1,620.00",0.00K,-0.94%,SIX,Switzerland,CHF
14-Feb-19,"1,635.39","1,668.00","1,668.00","1,635.39",0.02K,-0.76%,SIX,Switzerland,CHF
13-Feb-19,"1,647.87","1,647.87","1,647.87","1,647.87",0.00K,1.52%,SIX,Switzerland,CHF
12-Feb-19,"1,623.17","1,622.87","1,624.11","1,622.87",0.03K,1.84%,SIX,Switzerland,CHF
11-Feb-19,"1,593.88","1,591.29","1,619.32","1,591.29",0.05K,1.13%,SIX,Switzerland,CHF
8-Feb-19,"1,576.00","1,600.00","1,616.74","1,576.00",0.16K,-1.86%,SIX,Switzerland,CHF
7-Feb-19,"1,605.80","1,605.80","1,605.80","1,605.80",0.01K,-3.27%,SIX,Switzerland,CHF
6-Feb-19,"1,660.00","1,660.00","1,660.00","1,660.00",0.02K,0.59%,SIX,Switzerland,CHF
5-Feb-19,"1,650.30","1,641.91","1,650.30","1,622.97",0.02K,1.87%,SIX,Switzerland,CHF
4-Feb-19,"1,620.00","1,620.00","1,630.00","1,620.00",0.01K,-1.22%,SIX,Switzerland,CHF
1-Feb-19,"1,640.00","1,622.04","1,660.92","1,612.00",0.11K,-3.87%,SIX,Switzerland,CHF
31-Jan-19,"1,706.00","1,690.00","1,706.00","1,679.81",0.06K,5.05%,SIX,Switzerland,CHF
30-Jan-19,"1,623.97","1,601.11","1,623.97","1,601.11",0.02K,1.50%,SIX,Switzerland,CHF
29-Jan-19,"1,600.00","1,600.00","1,600.00","1,600.00",60.00K,-1.17%,SIX,Switzerland,CHF
28-Jan-19,"1,618.96","1,667.83","1,667.83","1,618.96",0.03K,-2.93%,SIX,Switzerland,CHF
25-Jan-19,"1,667.86","1,671.39","1,671.39","1,655.00",0.01K,1.02%,SIX,Switzerland,CHF
24-Jan-19,"1,651.01","1,650.00","1,651.01","1,650.00",0.02K,0.94%,SIX,Switzerland,CHF
23-Jan-19,"1,635.63","1,640.50","1,642.10","1,620.32",0.11K,-0.84%,SIX,Switzerland,CHF
22-Jan-19,"1,649.45","1,680.00","1,680.00","1,649.45",0.03K,-2.74%,SIX,Switzerland,CHF
21-Jan-19,"1,696.00","1,680.00","1,698.00","1,680.00",0.02K,0.05%,SIX,Switzerland,CHF
18-Jan-19,"1,695.08","1,690.00","1,706.46","1,687.24",0.04K,1.14%,SIX,Switzerland,CHF
17-Jan-19,"1,676.00","1,669.49","1,676.00","1,654.64",0.02K,-0.06%,SIX,Switzerland,CHF
16-Jan-19,"1,677.00","1,660.00","1,680.00","1,660.00",55.06K,4.50%,SIX,Switzerland,CHF
15-Jan-19,"1,604.83","1,617.50","1,617.50","1,604.83",0.02K,0.68%,SIX,Switzerland,CHF
14-Jan-19,"1,594.00","1,611.20","1,611.20","1,578.14",0.04K,-2.21%,SIX,Switzerland,CHF
11-Jan-19,"1,630.00","1,622.13","1,630.00","1,610.15",0.07K,1.10%,SIX,Switzerland,CHF
10-Jan-19,"1,612.32","1,599.00","1,612.32","1,595.76",0.03K,-0.75%,SIX,Switzerland,CHF
9-Jan-19,"1,624.56","1,644.28","1,644.28","1,619.05",0.01K,0.53%,SIX,Switzerland,CHF
8-Jan-19,"1,616.00","1,624.44","1,641.66","1,616.00",0.07K,2.34%,SIX,Switzerland,CHF
7-Jan-19,"1,579.05","1,563.14","1,579.05","1,560.00",0.14K,2.62%,SIX,Switzerland,CHF
4-Jan-19,"1,538.71","1,501.00","1,538.71","1,500.33",0.22K,2.42%,SIX,Switzerland,CHF
3-Jan-19,"1,502.28","1,487.23","1,502.28","1,485.00",0.02K,4.93%,SIX,Switzerland,CHF
28-Dec-18,"1,431.66","1,435.00","1,450.20","1,425.00",0.05K,1.75%,SIX,Switzerland,CHF
27-Dec-18,"1,406.99","1,465.00","1,467.02","1,400.00",103.18K,0.50%,SIX,Switzerland,CHF
21-Dec-18,"1,400.00","1,433.83","1,459.75","1,400.00",0.05K,-5.48%,SIX,Switzerland,CHF
20-Dec-18,"1,481.14","1,493.00","1,493.00","1,465.55",0.10K,-3.62%,SIX,Switzerland,CHF
19-Dec-18,"1,536.82","1,545.55","1,545.55","1,536.82",0.01K,1.37%,SIX,Switzerland,CHF
18-Dec-18,"1,516.00","1,531.07","1,531.07","1,514.51",0.02K,-0.26%,SIX,Switzerland,CHF
