Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
21-Feb-19,"1,423.25","1,434.99","1,435.97","1,412.60",1.67K,-0.87%,XETRA,Germany,EUR
20-Feb-19,"1,435.77","1,438.99","1,442.62","1,430.21",1.19K,0.25%,XETRA,Germany,EUR
19-Feb-19,"1,432.18","1,423.59","1,438.16","1,415.88",2.64K,0.15%,XETRA,Germany,EUR
18-Feb-19,"1,429.98","1,430.51","1,433.00","1,418.32",1.74K,0.16%,XETRA,Germany,EUR
15-Feb-19,"1,427.71","1,428.49","1,450.43","1,425.35",2.08K,-0.19%,XETRA,Germany,EUR
14-Feb-19,"1,430.36","1,456.00","1,464.99","1,423.56",4.22K,-1.88%,XETRA,Germany,EUR
13-Feb-19,"1,457.74","1,450.49","1,465.16","1,450.49",3.43K,1.34%,XETRA,Germany,EUR
12-Feb-19,"1,438.53","1,424.49","1,443.50","1,416.95",3.21K,2.08%,XETRA,Germany,EUR
11-Feb-19,"1,409.19","1,403.99","1,425.36","1,401.00",4.51K,1.22%,XETRA,Germany,EUR
8-Feb-19,"1,392.26","1,416.72","1,420.95","1,387.62",4.39K,-1.23%,XETRA,Germany,EUR
7-Feb-19,"1,409.56","1,439.80","1,443.66","1,409.56",4.48K,-2.23%,XETRA,Germany,EUR
6-Feb-19,"1,441.70","1,457.99","1,471.10","1,435.54",4.69K,-0.66%,XETRA,Germany,EUR
5-Feb-19,"1,451.21","1,427.01","1,458.25","1,426.07",3.38K,0.76%,XETRA,Germany,EUR
4-Feb-19,"1,440.30","1,426.00","1,442.11","1,412.00",7.73K,0.33%,XETRA,Germany,EUR
1-Feb-19,"1,435.53","1,437.49","1,456.23","1,417.42",14.04K,-4.00%,XETRA,Germany,EUR
31-Jan-19,"1,495.27","1,473.76","1,496.34","1,463.88",6.98K,3.99%,XETRA,Germany,EUR
30-Jan-19,"1,437.86","1,414.99","1,442.99","1,410.76",6.57K,2.88%,XETRA,Germany,EUR
29-Jan-19,"1,397.62","1,427.51","1,436.23","1,395.61",5.30K,-1.35%,XETRA,Germany,EUR
28-Jan-19,"1,416.71","1,462.40","1,462.98","1,416.71",4.53K,-3.52%,XETRA,Germany,EUR
25-Jan-19,"1,468.40","1,466.99","1,478.76","1,462.01",3.95K,1.68%,XETRA,Germany,EUR
24-Jan-19,"1,444.12","1,448.99","1,460.01","1,436.80",3.56K,0.57%,XETRA,Germany,EUR
23-Jan-19,"1,435.99","1,437.99","1,459.50","1,422.31",7.38K,-1.91%,XETRA,Germany,EUR
22-Jan-19,"1,463.91","1,486.00","1,486.87","1,458.20",5.05K,-2.15%,XETRA,Germany,EUR
21-Jan-19,"1,496.00","1,488.21","1,496.80","1,481.01",5.71K,-0.68%,XETRA,Germany,EUR
18-Jan-19,"1,506.17","1,494.00","1,506.17","1,489.00",5.86K,1.59%,XETRA,Germany,EUR
17-Jan-19,"1,482.60","1,469.00","1,484.56","1,464.87",2.41K,-0.33%,XETRA,Germany,EUR
16-Jan-19,"1,487.49","1,476.09","1,495.26","1,468.33",5.47K,2.53%,XETRA,Germany,EUR
15-Jan-19,"1,450.82","1,428.41","1,450.82","1,423.28",4.23K,1.21%,XETRA,Germany,EUR
